strategy,rouge1,rouge2,rougeL,bleu,bertscore
reversed_top2,0.39217128947353175,0.17350018402632916,0.23179742203796413,0.09952476688163445,0.8500050515546053
reversed_top3,0.416580573430909,0.19623959161915355,0.2459112538387104,0.11472250806853472,0.8607939632150142
reversed_top4,0.413217663920178,0.19164500566390857,0.24753342976463633,0.11194895553759322,0.8582269026097437
reversed_top5,0.4157369183991564,0.19522833992432667,0.2503636054616882,0.11601905963183143,0.8581605601475223
sequential_top1,0.3685494945070226,0.1402991991870625,0.21420108987507527,0.07320205833101556,0.8349581616053632
sequential_top2,0.38307229000081117,0.1603842715431326,0.2254917247253511,0.08878261016374633,0.8477847510053076
sequential_top3,0.4048329011524822,0.19093952644799053,0.24682859921835154,0.11481045687896906,0.8600381482350623
sequential_top4,0.409974103117902,0.19128705953332867,0.2451082497218745,0.1137989280147638,0.8580768073228109
sequential_top5,0.3977513360160849,0.17390520633430678,0.23384197516861355,0.09916212151763774,0.8569542749907293
shuffled_top3,0.4084371656845362,0.190075326102072,0.24400568214608537,0.11482846284997446,0.860799655950146
shuffled_top4,0.41432269645505954,0.1973910011501645,0.2510902668700459,0.11562824169679692,0.8592635964226116
shuffled_top5,0.4083444869744588,0.1847000486284939,0.24349223670792197,0.10781050825974597,0.8561226903710657
