strategy,rouge1,rouge2,rougeL,bleu,bertscore
reversed_top2,0.3985265625,0.16865,0.233803125,0.0942921875,0.8480984375
reversed_top3,0.416228125,0.18785,0.2395828125,0.1057203125,0.8582546875
reversed_top4,0.41121875,0.1928484375,0.2503390625,0.11117656249999999,0.85755
reversed_top5,0.414728125,0.1930984375,0.249028125,0.1116296875,0.8561578125
sequential_top1,0.361575,0.1248578125,0.205484375,0.064946875,0.8347890625
sequential_top2,0.3818234375,0.14805,0.2207375,0.0760328125,0.8466296875
sequential_top3,0.4129203125,0.1891578125,0.24726718749999999,0.11138125,0.857034375
sequential_top4,0.4169203125,0.1931140625,0.23930625,0.1117078125,0.858046875
sequential_top5,0.405834375,0.17543125,0.2355390625,0.09683749999999999,0.855996875
shuffled_top3,0.4088640625,0.1803,0.2389171875,0.1028328125,0.8567765625
shuffled_top4,0.403828125,0.1889765625,0.2508984375,0.108715625,0.856553125
shuffled_top5,0.4203875,0.1929328125,0.2534625,0.1127859375,0.856321875
